,0,1,2,accuracy,macro avg,weighted avg
precision,0.1111111111111111,0.8273381294964028,0.08823529411764706,0.7289719626168224,0.3422281782417203,0.6933434377658217
recall,0.038461538461538464,0.8778625954198473,0.09090909090909091,0.7289719626168224,0.3357444082634922,0.7289719626168224
f1-score,0.05714285714285714,0.8518518518518519,0.08955223880597014,0.7289719626168224,0.3328489826002264,0.7091156490700825
support,26.0,262.0,33.0,0.7289719626168224,321.0,321.0
