,0,1,2,accuracy,macro avg,weighted avg
precision,0.5,0.8252427184466019,0.2,0.8037383177570093,0.5084142394822007,0.7346217826573511
recall,0.038461538461538464,0.9732824427480916,0.06060606060606061,0.8037383177570093,0.3574500139385635,0.8037383177570093
f1-score,0.07142857142857142,0.8931698774080561,0.09302325581395349,0.8037383177570093,0.3525405682168603,0.7443533276632835
support,26.0,262.0,33.0,0.8037383177570093,321.0,321.0
