,0,1,2,accuracy,macro avg,weighted avg
precision,0.0,0.8227848101265823,0.2,0.8130841121495327,0.3409282700421941,0.6921171970503569
recall,0.0,0.9923664122137404,0.030303030303030304,0.8130841121495327,0.34088981417225694,0.8130841121495327
f1-score,0.0,0.8996539792387543,0.05263157894736842,0.8130841121495327,0.31742851939537425,0.7397077403919526
support,26.0,262.0,33.0,0.8130841121495327,321.0,321.0
